County_fip,COUNTYNAME,State_fip
US01001,Autauga County,US01
US01003,Baldwin County,US01
US01005,Barbour County,US01
US01007,Bibb County,US01
US01009,Blount County,US01
US01011,Bullock County,US01
US01013,Butler County,US01
US01015,Calhoun County,US01
US01017,Chambers County,US01
US01019,Cherokee County,US01
US01021,Chilton County,US01
US01023,Choctaw County,US01
US01025,Clarke County,US01
US01027,Clay County,US01
US01029,Cleburne County,US01
US01031,Coffee County,US01
US01033,Colbert County,US01
US01035,Conecuh County,US01
US01037,Coosa County,US01
US01039,Covington County,US01
US01041,Crenshaw County,US01
US01043,Cullman County,US01
US01045,Dale County,US01
US01047,Dallas County,US01
US01049,DeKalb County,US01
US01051,Elmore County,US01
US01053,Escambia County,US01
US01055,Etowah County,US01
US01057,Fayette County,US01
US01059,Franklin County,US01
US01061,Geneva County,US01
US01063,Greene County,US01
US01065,Hale County,US01
US01067,Henry County,US01
US01069,Houston County,US01
US01071,Jackson County,US01
US01073,Jefferson County,US01
US01075,Lamar County,US01
US01077,Lauderdale County,US01
US01079,Lawrence County,US01
US01081,Lee County,US01
US01083,Limestone County,US01
US01085,Lowndes County,US01
US01087,Macon County,US01
US01089,Madison County,US01
US01091,Marengo County,US01
US01093,Marion County,US01
US01095,Marshall County,US01
US01097,Mobile County,US01
US01099,Monroe County,US01
US01101,Montgomery County,US01
US01103,Morgan County,US01
US01105,Perry County,US01
US01107,Pickens County,US01
US01109,Pike County,US01
US01111,Randolph County,US01
US01113,Russell County,US01
US01115,St. Clair County,US01
US01117,Shelby County,US01
US01119,Sumter County,US01
US01121,Talladega County,US01
US01123,Tallapoosa County,US01
US01125,Tuscaloosa County,US01
US01127,Walker County,US01
US01129,Washington County,US01
US01131,Wilcox County,US01
US01133,Winston County,US01
US02013,Aleutians East Borough,US02
US02016,Aleutians West Census Area,US02
US02020,Anchorage Municipality,US02
US02050,Bethel Census Area,US02
US02060,Bristol Bay Borough,US02
US02063,Chugach Census Area,US02
US02066,Copper River Census Area,US02
US02068,Denali Borough,US02
US02070,Dillingham Census Area,US02
US02090,Fairbanks North Star Borough,US02
US02100,Haines Borough,US02
US02105,Hoonah-Angoon Census Area,US02
US02110,Juneau City and Borough,US02
US02122,Kenai Peninsula Borough,US02
US02130,Ketchikan Gateway Borough,US02
US02150,Kodiak Island Borough,US02
US02158,Kusilvak Census Area,US02
US02164,Lake and Peninsula Borough,US02
US02170,Matanuska-Susitna Borough,US02
US02180,Nome Census Area,US02
US02185,North Slope Borough,US02
US02188,Northwest Arctic Borough,US02
US02195,Petersburg Borough,US02
US02198,Prince of Wales-Hyder Census Area,US02
US02220,Sitka City and Borough,US02
US02230,Skagway Municipality,US02
US02240,Southeast Fairbanks Census Area,US02
US02275,Wrangell City and Borough,US02
US02282,Yakutat City and Borough,US02
US02290,Yukon-Koyukuk Census Area,US02
US04001,Apache County,US04
US04003,Cochise County,US04
US04005,Coconino County,US04
US04007,Gila County,US04
US04009,Graham County,US04
US04011,Greenlee County,US04
US04012,La Paz County,US04
US04013,Maricopa County,US04
US04015,Mohave County,US04
US04017,Navajo County,US04
US04019,Pima County,US04
US04021,Pinal County,US04
US04023,Santa Cruz County,US04
US04025,Yavapai County,US04
US04027,Yuma County,US04
US05001,Arkansas County,US05
US05003,Ashley County,US05
US05005,Baxter County,US05
US05007,Benton County,US05
US05009,Boone County,US05
US05011,Bradley County,US05
US05013,Calhoun County,US05
US05015,Carroll County,US05
US05017,Chicot County,US05
US05019,Clark County,US05
US05021,Clay County,US05
US05023,Cleburne County,US05
US05025,Cleveland County,US05
US05027,Columbia County,US05
US05029,Conway County,US05
US05031,Craighead County,US05
US05033,Crawford County,US05
US05035,Crittenden County,US05
US05037,Cross County,US05
US05039,Dallas County,US05
US05041,Desha County,US05
US05043,Drew County,US05
US05045,Faulkner County,US05
US05047,Franklin County,US05
US05049,Fulton County,US05
US05051,Garland County,US05
US05053,Grant County,US05
US05055,Greene County,US05
US05057,Hempstead County,US05
US05059,Hot Spring County,US05
US05061,Howard County,US05
US05063,Independence County,US05
US05065,Izard County,US05
US05067,Jackson County,US05
US05069,Jefferson County,US05
US05071,Johnson County,US05
US05073,Lafayette County,US05
US05075,Lawrence County,US05
US05077,Lee County,US05
US05079,Lincoln County,US05
US05081,Little River County,US05
US05083,Logan County,US05
US05085,Lonoke County,US05
US05087,Madison County,US05
US05089,Marion County,US05
US05091,Miller County,US05
US05093,Mississippi County,US05
US05095,Monroe County,US05
US05097,Montgomery County,US05
US05099,Nevada County,US05
US05101,Newton County,US05
US05103,Ouachita County,US05
US05105,Perry County,US05
US05107,Phillips County,US05
US05109,Pike County,US05
US05111,Poinsett County,US05
US05113,Polk County,US05
US05115,Pope County,US05
US05117,Prairie County,US05
US05119,Pulaski County,US05
US05121,Randolph County,US05
US05123,St. Francis County,US05
US05125,Saline County,US05
US05127,Scott County,US05
US05129,Searcy County,US05
US05131,Sebastian County,US05
US05133,Sevier County,US05
US05135,Sharp County,US05
US05137,Stone County,US05
US05139,Union County,US05
US05141,Van Buren County,US05
US05143,Washington County,US05
US05145,White County,US05
US05147,Woodruff County,US05
US05149,Yell County,US05
US06001,Alameda County,US06
