STATE,STATEFP,State_fip,COUNTYFP,COUNTYNAME,County_fip,PLACEFP,city_fip,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT,LINK
AL,1,US01,1,Autauga County,US01001,3220,US0103220,2405187,Autaugaville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,1,Autauga County,US01001,6460,US0106460,2405265,Billingsley town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,1,Autauga County,US01001,46600,US0146600,2582686,Marbury,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,1,Autauga County,US01001,48712,US0148712,2404261,Millbrook city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,1,Autauga County,US01001,60264,US0160264,2582694,Pine Level,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,1,Autauga County,US01001,62328,US0162328,2404568,Prattville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,4660,US0104660,2403825,Bay Minette city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,8272,US0108272,2633314,Bon Secour,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,3,Baldwin County,US01003,19648,US0119648,2404186,Daphne city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,23320,US0123320,2406430,Elberta town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,25240,US0125240,2403590,Fairhope city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,26992,US0126992,2403626,Foley city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,32272,US0132272,2403770,Gulf Shores city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,42928,US0142928,2633315,Lillian,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,3,Baldwin County,US01003,44608,US0144608,2406055,Loxley town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,46072,US0146072,2406080,Magnolia Springs town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,57144,US0157144,2404439,Orange Beach city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,59064,US0159064,2633316,Perdido,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,3,Baldwin County,US01003,59088,US0159088,2560543,Perdido Beach town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,61488,US0161488,2403433,Point Clear,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,3,Baldwin County,US01003,65208,US0165208,2404632,Robertsdale city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,70536,US0170536,2407342,Silverhill town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,71976,US0171976,2405500,Spanish Fort city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,3,Baldwin County,US01003,72816,US0172816,2633317,Stapleton,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,3,Baldwin County,US01003,73272,US0173272,2633318,Stockton,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,3,Baldwin County,US01003,73872,US0173872,2406681,Summerdale town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,5,Barbour County,US01005,3724,US0103724,2405200,Bakerhill town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,5,Barbour County,US01005,7672,US0107672,2405286,Blue Springs town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,5,Barbour County,US01005,15376,US0115376,2406274,Clayton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,5,Barbour County,US01005,15640,US0115640,2404082,Clio city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,5,Barbour County,US01005,24568,US0124568,2403575,Eufaula city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,5,Barbour County,US01005,44344,US0144344,2406049,Louisville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,7,Bibb County,US01007,9136,US0109136,2403918,Brent city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,7,Bibb County,US01007,13672,US0113672,2404026,Centreville city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,7,Bibb County,US01007,78264,US0178264,2406787,Vance town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,7,Bibb County,US01007,80928,US0180928,2406861,West Blocton town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,7,Bibb County,US01007,83640,US0183640,2406913,Woodstock town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,1396,US0101396,2405136,Allgood town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,1660,US0101660,2405146,Altoona town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,7456,US0107456,2405280,Blountsville town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,15472,US0115472,2406278,Cleveland town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,17968,US0117968,2406322,County Line town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,29032,US0129032,2406541,Garden City town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,33640,US0133640,2405806,Hayden town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,34480,US0134480,2405832,Highland Lake town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,43888,US0143888,2406036,Locust Fork town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,53448,US0153448,2406969,Nectar town,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,57000,US0157000,2404433,Oneonta city,INCORPORATED PLACE,C1,A,TRUE
AL,1,US01,9,Blount County,US01009,64248,US0164248,2804648,Remlap,CENSUS DESIGNATED PLACE,U1,S,TRUE
AL,1,US01,9,Blount County,US01009,66408,US0166408,2407242,Rosa town,INCORPORATED PLACE,C1,A,TRUE
