CMS Region,State fips,alias
1,US09,CT
1,US23,ME
1,US25,MA
1,US33,NH
1,US44,RI
1,US50,VT
2,US34,NJ
2,US36,NY
2,US72,PR
2,US78,VI
3,US10,DE
3,US11,DC
3,US24,MD
3,US42,PA
3,US51,VA
3,US54,WV
4,US01,AL
4,US12,FL
4,US13,GA
4,US21,KY
4,US28,MS
4,US37,NC
4,US45,SC
4,US47,TN
5,US17,IL
5,US18,IN
5,US26,MI
5,US27,MN
5,US39,OH
5,US55,WI
6,US05,AR
6,US22,LA
6,US35,NM
6,US40,OK
6,US48,TX
7,US19,IA
7,US20,KS
7,US29,MO
7,US31,NE
8,US08,CO
8,US30,MT
8,US38,ND
8,US46,SD
8,US49,UT
8,US56,WY
9,US04,AZ
9,US06,CA
9,US15,HI
9,US32,NV
9,US60,AS
9,US66,GU
9,US69,MP
10,US02,AK
10,US16,ID
10,US41,OR
10,US53,WA
